City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Sambava,MG,2022-09-15 15:18:20,-14.2667,50.1667,72.0,75,99,16.13,light rain
155,Tuktoyaktuk,CA,2022-09-15 15:18:20,69.4541,-133.0374,35.6,93,75,13.8,light rain
156,Barmer,IN,2022-09-15 15:18:20,25.75,71.3833,86.16,60,69,18.45,broken clouds
157,Niquelandia,BR,2022-09-15 15:18:21,-14.4739,-48.4597,101.71,13,0,1.77,clear sky
158,Zharkent,KZ,2022-09-15 15:18:22,44.1628,80.0,60.62,24,0,2.89,clear sky
159,Ballina,AU,2022-09-15 15:18:22,-28.8667,153.5667,65.01,84,100,19.44,light rain
160,Rosarito,MX,2022-09-15 15:18:22,32.3333,-117.0333,69.48,76,7,4.36,clear sky
161,Mersing,MY,2022-09-15 15:18:23,2.4312,103.8405,75.11,94,40,3.44,light rain
162,Srednekolymsk,RU,2022-09-15 15:18:23,67.45,153.6833,33.69,77,80,5.48,broken clouds
163,Mumford,GH,2022-09-15 15:18:24,5.2618,-0.759,78.73,80,84,13.49,broken clouds
164,Gladstone,AU,2022-09-15 15:18:24,-23.85,151.25,64.33,72,40,0.0,scattered clouds
165,Iranshahr,IR,2022-09-15 15:18:25,27.2025,60.6848,102.54,8,0,9.22,clear sky
166,Marsh Harbour,BS,2022-09-15 15:18:25,26.5412,-77.0636,85.44,68,100,12.41,overcast clouds
167,The Pas,CA,2022-09-15 15:18:25,53.8251,-101.2541,50.02,87,0,3.44,clear sky
168,Green River,US,2022-09-15 15:18:26,41.5286,-109.4662,55.18,61,96,10.0,overcast clouds
169,Upernavik,GL,2022-09-15 15:18:26,72.7868,-56.1549,39.99,95,100,11.79,light rain
170,Puerto Ayacucho,VE,2022-09-15 15:18:27,5.6639,-67.6236,86.88,65,31,2.44,scattered clouds
171,Bonthe,SL,2022-09-15 15:18:27,7.5264,-12.505,81.75,74,99,10.85,overcast clouds
172,Talnakh,RU,2022-09-15 15:18:28,69.4865,88.3972,40.21,82,76,25.19,light rain
173,Ponta Do Sol,PT,2022-09-15 15:18:28,32.6667,-17.1,84.83,83,36,7.65,scattered clouds
174,Yuzhno-Sukhokumsk,RU,2022-09-15 15:18:28,44.6581,45.6436,74.79,38,72,1.25,broken clouds
175,Bluff,NZ,2022-09-15 15:18:29,-46.6,168.3333,46.8,62,61,19.17,broken clouds
176,Kahului,US,2022-09-15 15:14:09,20.8947,-156.47,77.85,73,0,5.01,clear sky
177,Hithadhoo,MV,2022-09-15 15:18:30,-0.6,73.0833,82.15,64,4,4.23,clear sky
178,Taltal,CL,2022-09-15 15:18:30,-25.4,-70.4833,60.4,69,11,4.09,few clouds
179,Agadir,MA,2022-09-15 15:18:30,30.4202,-9.5982,82.85,51,0,17.25,clear sky
180,Salalah,OM,2022-09-15 15:18:31,17.0151,54.0924,78.89,94,20,8.05,few clouds
181,Osorno,CL,2022-09-15 15:18:31,-40.5667,-73.15,52.25,93,100,10.36,overcast clouds
182,La Serena,CL,2022-09-15 15:18:32,-29.9078,-71.2542,56.71,82,40,14.97,scattered clouds
183,Bilibino,RU,2022-09-15 15:18:32,68.0546,166.4372,30.61,88,95,5.14,overcast clouds
184,Pavlivka,UA,2022-09-15 15:18:33,49.4414,28.4596,66.34,79,74,11.74,broken clouds
185,Kunya,NG,2022-09-15 15:18:33,12.2233,8.5325,91.56,58,20,5.75,few clouds
186,Provideniya,RU,2022-09-15 15:18:33,64.3833,-173.3,46.0,91,100,12.08,light rain
187,Berezovka,BY,2022-09-15 15:18:34,53.7214,25.4993,59.95,68,100,4.99,overcast clouds
188,Paracuru,BR,2022-09-15 15:18:34,-3.41,-39.0306,79.11,57,22,17.63,few clouds
189,Danilovka,RU,2022-09-15 15:18:34,50.3557,44.1168,61.0,65,63,5.01,broken clouds
